Name,Type,FortuneCost,ShotCost,Description
Push,gene,0,3,"<p>Make a 3-shot ranged attack, Damage Value 11, using your Mutant Attack Value. If you deliver a Smackdown, the target flies X meters through the air directly away from you, where X = the number of Wound Points you dish out.</p>"
Berserk Rage,gene,1,1,<p>Spend 1 Genome point and 1 shot; your Mutant Attack Value increases by 2 until the end of the sequence</p>
Pain Eater,gene,0,0,"<p>When your attack takes a foe from 0 to 1 Impairment, or from 1 to 2 Impairment, regain 3 spent Genome points. When an ally’s attack takes a foe from 0 to 1 Impairment, or from 1 to 2 Impairment, regain 1 spent Genome point.</p>"
Glutton For Punishment,core,0,0,"<p>When you take Wound Points from a Martial Arts attack, or take non-attack damage, your next Martial Arts attack this fight gets a +2 bonus. This bonus stacks with other effects but not with itself.</p>"
Underdog Desperation,core,0,0,<p>Add +2 Toughness vs. opponents with fewer Wound Points than you.</p>
Indefatigable,core,0,0,<p>Impairment points do not decrease your Martial Arts attack value.</p>
Ouch!,core,0,0,"<p>When you miss with an unarmed attack, you take X Wound Points, where X equals the absolute value of your Swerve. Your next Martial Arts attack this fight gets a +X bonus. If successful, heal X Wound Points. This schtick is always active.</p>"
Stop Right There!,gun,0,1,<p>Spend 1 shot to automatically stop an enemy from Cheesing It.</p>
Take The Shot,gun,0,0,<p>Add +4 Guns vs. targets using hostages as human shields.</p>
Both Guns Blazing II,gun,0,0,"<p>Fire two guns simultaneously at your opponent; these must be handguns or otherwise outfitted with a pistol grip. Treat as one attack at Guns –1, with the Damage of both guns added together, and the opponent’s Toughness doubled.</p>"
Carnival of Carnage III,gun,0,0,<p>Add +2 Guns vs. mooks. Subtract 1 from the shot cost of any attack on a mook or mooks. Minimum shot cost remains 1.</p>
Heroic Blodshed,disadvantage,0,0,"<p>In the climactic fight of an adventure, any attack that deals you more than 4 Wound Points deals an additional 3 Wound Points.</p>"
Inured to Weirdness,core,0,0,"<p>When a Sorcery, Creature, or Scroungetech attack misses you, regain a spent Magic point.</p>"
Juncture Adapted,core,0,0,"<p>When in your home juncture, ignore any juncture costs for Sorcery.</p>"
Hair-Trigger Neckhairs,gun,0,0,<p>Gain +1 Defense for the first sequence of any fight your opponents start unexpectedly.</p>
Ghost Sense,sorcery,1,0,"<p>Spend 1 Magic to see the ghosts all around you in a single scene. Unless you count the odd grotesque transformation or ineffective lunge in your direction, they can’t really communicate with you. But their presence and appearance may provide clues to past events in the area. Specialty: Divination</p>"
Banishment,sorcery,3,3,"<p>Spend 3 Magic and 3 shots: on a Sorcery success against a supernatural creature’s Defense, it Cheeses It. On a failure, you regain the Magic points spent. Specialty: Summoning</p>"
Hands Without Shadow,fu,0,0,"<p>+X Martial Arts vs. opponents whose Defense values, bonuses included, exceed your current Defense. X = the difference between Defense values</p>"
Dim Mak,fu,3,0,"<p>Any time after the 6th shot of the 2nd sequence, spend 3 Chi and make a Martial Arts punch attack against a featured foe. If successful, ignore normal Damage determination; the foe’s Wound Point total is now 34 for a featured foe or 49 for a boss. If unsuccessful, regain 2 Chi.</p>"
Whirl of Fury,fu,1,0,"<p>Spend 1 Chi as you make a Martial Arts nunchaku attack. If you hit, this and all of your nunchaku attacks for the rest of the fight have a Damage Value of 14.</p>"
Lightning Fist,fu,1,1,"<p>When you hit an opponent with a Martial Arts punch attack, spend 1 Chi and 1 shot as an interrupt. For this attack, and until next keyframe, your target’s Toughness is halved (round fractions up)</p>"
Blur of Rage,fu,1,0,"<p>Spend 1 Chi as you make a Martial Arts nunchaku attack against a mook. Until next keyframe, roll a die whenever a mook attacks you. On an even result, the mook drops before it can attack.</p>"
Signature Weapon,gun,0,0,<p>Your favorite Smith & Wesson Model 29 deals 3 more damage than the norm</p>
Blam Blam Epigram,gun,1,0,"<p>Add 1 to the shot cost of any Guns attack and make a pithy quip before or after shooting. The Damage Value of your weapon increases by 2 against a non-Impaired opponent, by 8 against an Impaired opponent</p>"
Justice Bringer,core,0,0,"<p>Add +2 Guns vs. any target you know to be a murderer, torturer, or felony sex offender.</p>"
Hot Pursuit,driving,1,0,<p>Spend 1 Fortune to get +2 Driving until next keyframe when you are the pursuer in a vehicle chase.</p>
Tight Roll I,driving,0,0,"<p>When a vehicle you’re driving crashes, you and all occupants gain +2 Toughness against crash damage.</p>"
Finding The Tell,core,0,0,<p>Add +2 to attacks against characters you spoke with in the previous scene.</p>
Needling Remark,core,1,0,"<p>When exchanging barbs with a character in a non-combat scene, spend 1 Fortune. Until the end of the adventure, that character gets +1 to attack you; you get +2 to attack that character.</p>"
Cut The Bull,core,0,0,"<p>When you and the other PCs are speculating as to the best course of action, or as to the motivations of a given character, you can spend a Fortune point to have the GM tell you whether your speculation is correct or incorrect.</p>"
Disarming Shot,gun,0,0,"<p>Take a –1 penalty to your attack roll against a foe carrying a weapon. If your attack hits, the foe drops the weapon. The shot cost of their next attack increases by +3. After this attack the foe is considered to have their weapon back. Against bosses, take a –3 penalty to your attack to use this ability.</p>"
Distraction,core,0,0,"<p>Describe a distracting nonlethal assault against your target. Instead of damage, on a successful Martial Arts attack, the target suffers 3 Impairment for a number of shots equal to your Outcome. You can’t further distract an already distracted opponent.</p>"
"Look Out, Kid!",core,0,0,<p>Roll a die when you are attacked while benefiting from a Defense boost. On an even result the boost continues until end of next shot.</p>
A Ride Is A Ride,driving,0,0,<p>Ignore Unfamiliar Vehicle penalties</p>
The Fox's Retreat,fu,1,0,"<p>Spend 1 Chi. Until next keyframe, Dodges increase your Defense by +4.</p>"
Eyes Of The Fox,fu,2,0,<p>Pay 2 Chi to reduce Wound Points dealt to you by an attack to 3.</p>
Forceful Dart,fu,1,0,<p>Spend 1 Chi to give your thrown darts or throwing stars a Damage Value of X - 1 until next keyframe. X = the highest base Damage Value of any weapon currently being wielded by an ally (ignoring any special damage bonuses the ally gets).</p>
Chi Blast,sorcery,0,0,"<p>As a standard 3-shot action, direct a ranged attack of raw magical energy at a combatant of your choice, using your Sorcery attack value, Damage 9. Specialty: Blast.</p>"
Magnetic Blast,sorcery,0,0,"<p>When you hit a vehicle with a Chi Blast, it takes +3 Condition Points. Specialty: Blast.</p>"
Fight Finder,sorcery,1,0,"<p>Spend 1 Magic to know the location of the nearest group of people who want to kill you. You do not know which group. If no one wants to kill you, it must be early in the series. You get the Magic point back. Specialty: Divination</p>"
Flight,sorcery,0,0,"<p>Fly through the air, moving up to 5 m per shot. Specialty: Movement.</p>"
Observe Chi,sorcery,0,0,"<p>See the flow of chi in an area, noting how strong or weak it is and if it is corrupted or impinged upon by some unnatural force. Immediately identify feng shui sites. Tell whether an individual you can see in person is attuned to at least one feng shui site. Specialty: Divination.</p>"
Heal Wounds,sorcery,1,4,<p>Spend 4 shots and 1 Magic to reduce a character’s Wound Point total by the result of your Sorcery Check. Specialty: Heal.</p>
Scroll of Spells,core,2,3,"<p>Spend 2 Magic to gain any Sorcery schtick you don’t have, provided you have at least one schtick within that specialty, until end of session. Takes 3 shots if used in combat (6 shots if you’re looking at the rulebook when your shot comes up).</p>"
